0,1
deane,deane@ualr
deane,deane@ualr
deane,deane@ualr
deane,deane@ualr
deane,marks@ualr.edu
test,test@ualr.edu
asdf,askfj@gmail.com
test,test@gmail.com
,
,
,
Green,Green,Green
Green,Green,Green
black,Green,Green
,Green,Blue
,Green,Green
berry,Green,Green
banana,Green,Blue
bay,,Green
banana,black,Green
banana,bay,Green
bay,bay,Red
,,
banana,blossom,black
berry,bay,bay,4
black,celedon,bright_salmon,5
black,true_navy,sapphire,7
berry,burnt_orange,brick,3
blossom,bright_salmon,brick,0
berry,butter,butter,4
white,white,white,1
white,white,white,0
white,white,white,0
white,white,white,0
white,white,white,0
,,,
,,,
butter,bay,blossom,2
blue_spruce,bay,white,5
brick,berry,white,6
bay,butter,washed_denim,6,2023_06_10___02:49:40____310932
blue_spruce,berry,bright_salmon,8,2023_06_10___02:52:24____629635
blue_jean,white,blossom,4,/Users/deanemarks/Desktop/form/static/uploades/2023_06_10___02:56:02____933136/logo.png
blue_spruce,berry,butter,4,/Users/deanemarks/Desktop/form/static/uploads/2023_06_10___02:59:30____965971/logo.png
